"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"loc29-tmc051117","29.0111","47.7664","MD","?Ribnita","exact","3071","tmcZWEm1300a_079a"
"loc30-tmc051117","27.8","48.45","UA","?Mogilev Podolskyy","exact","3072","tmcZWEm1300a_080a"
"loc31-tmc051117","26.5","48.483334","UA","?Khotin","exact","1317","tmcZWEm1300a_082a"
"loc32-tmc051117","24.733334","49.116669","UA","?Halicz","exact","614","tmcZWEm1300a_083a"
"loc33-tmc051117","28.4","44.2167","RO","?Poarta Alba","exact","2468","tmcZWEm1300a_085a"
"loc34-tmc051117","27.25","42.7","BG","?Aytos","exact","2465","tmcZWEm1300a_086a"
"loc35-tmc051117","27.2247","41.7317","TR","?Kirklareli","exact","3090","tmcZWEm1300a_087a"
"loc36-tmc051117","25.55","42.766666","BG","?Shipka Pass","exact","689","tmcZWEm1300a_090a"
"loc37-tmc051117","24.6167","43.4167","BG","?Pleven","exact","3084","tmcZWEm1300a_091a"
"loc38-tmc051117","23.95","43.7667","RO","?Bechet","exact","3083","tmcZWEm1300a_092a"
"loc39-tmc051117","22.6561","44.6319","RO","?Drobeta-Turnu","exact","3082","tmcZWEm1300a_093a"
"loc40-tmc051117","22.1158","44.4756","CS","?Donji Milanovac","exact","3081","tmcZWEm1300a_094a"
"loc41-tmc051117","20.5","44.833332","CS","?Belgrade","exact","903","tmcZWEm1300a_095a"
"loc42-tmc051117","19.8369","45.2517","CS","?Novi Sad","exact","3066","tmcZWEm1300a_096a"
"loc43-tmc051117","19.6667","46.1","CS","?Subotica","exact","3080","tmcZWEm1300a_097a"
"loc44-tmc051117","19.0333","47.5","HU","?Buda","exact","2459","tmcZWEm1300a_098a"
"loc45-tmc051117","17.6333","47.6833","HU","?Gyor","exact","3020","tmcZWEm1300a_099a"
"loc46-tmc051117","24.75","42.150002","BG","?Plovdiv","exact","902","tmcZWEm1300a_100a"
"loc47-tmc051117","22.6911","42.2839","BG","?Kyustendil","exact","2462","tmcZWEm1300a_101a"
"loc48-tmc051117","21.467","42","MK","?Skopje","exact","922","tmcZWEm1300a_103a"
"loc49-tmc051117","20.7397","42.2139","CS","?Prizren","exact","2487","tmcZWEm1300a_104a"
"loc50-tmc051117","19.5131","42.0675","AL","?Scutari","exact","2485","tmcZWEm1300a_105a"
"loc51-tmc051117","18.9225","42.3922","CS","?Cetinje","exact","3079","tmcZWEm1300a_107a"
"loc52-tmc051117","18.088612","42.650555","HR","?Dubrovnik","exact","920","tmcZWEm1300a_107a"
"loc53-tmc051117","39.413612","47.110001","RU","?Tana","exact","280","tmcZWEm1300a_108a"
"loc54-tmc051117","44.5858","48.8047","RU","?Volgograd","exact","895","tmcZWEm1300a_109a"
"loc55-tmc051117","39.716667","41","TR","?Trabzon","exact","168","tmcZWEm1300a_110a"
"loc56-tmc051117","32.866669","39.933334","TR","?Ankara","exact","769","tmcZWEm1300a_113a"
"loc57-tmc051117","29.917","40.783","TR","?Izmit","exact","74","tmcZWEm1300a_113a"
"loc58-tmc051117","29.067","40.2","TR","?Bursa","exact","929","tmcZWEm1300a_116a"
"loc59-tmc051117","32.516666","37.866669","TR","?Konya","exact","770","tmcZWEm1300a_117a"
"loc60-tmc051117","40.2106","37.9189","TR","?Diyarbakir","exact","2031","tmcZWEm1300a_120a"
"loc61-tmc051117","36.299999","33.5","SY","?Damascus","exact","48","tmcZWEm1300a_127a"
"loc62-tmc051117","35","29.517","JO","?Akaba","exact","7","tmcZWEm1300a_265a"
"loc63-tmc051117","32.55","29.9667","EG","?Suez","exact","2391","tmcZWEm1300a_131a"
"loc64-tmc051117","10.116667","33.883331","TN","?Gabes","exact","778","tmcZWEm1300a_134a"
"loc65-tmc051117","10.101667","35.674442","TN","?Qairawan","exact","887","tmcZWEm1300a_135a"
"loc66-tmc051117","6.614722","36.365002","DZ","?Constantin","exact","1540","tmcZWEm1300a_137a"
"loc67-tmc051117","3.050556","36.763058","DZ","?Alger","exact","783","tmcZWEm1300a_138a"
"loc68-tmc051117","-1.315","34.878334","DZ","?Tlemcen","exact","787","tmcZWEm1300a_139a"
"loc69-tmc051117","-4.283333","31.283333","MA","?Sijilmassa","exact","789","tmcZWEm1300a_141a"
"loc70-tmc051117","39.9","59.2167","RU","?Vologda","exact","3069","tmcZWEm1300a_146a"
"loc71-tmc051117","31.1789","57.1444","RU","?Kholm","exact","3076","tmcZWEm1300a_149a"
