"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Southampton","UK","sealoc07-tmc051112","UK","English Channel; 'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-1.4","50.900002","ADL4178383","1.49","51","OWT","1513","3043","P000","tmcXMEm1400_019a"
"sealoc07-tmc051112","UK","Sandwich","UK","English Channel; 'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","1.49","51","OWT","1.35","51.2667","OWT","3043","3044","P000","tmcXMEm1400_020a"
"Sandwich","UK","London","UK","'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","1.35","51.2667","OWT","-.116667","51.5","4171789","3044","1475","P000","tmcXMEm1400_021a"
"London","UK","Bruges","BE","'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-.116667","51.5","4171789","3.2333","51.2167","www.fallingrain.com","1475","2702","P000","tmcXMEm1400_022a"
"Palermo","IT","Naples","IT","'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","13.383","38.133","TGN","14.25","40.8333","www.fallingrain.com","120","2721","P000","tmcXMEm1400_023a"
"Naples","IT","sealoc08-tmc051112","IT","W of Italy; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","14.25","40.8333","www.fallingrain.com","12.69","41.0955","OWT","2721","3045","P000","tmcXMEm1400_024a"
"sealoc08-tmc051112","IT","Civitavecchia","IT","W of Italy; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","12.69","41.0955","OWT","11.8","42.1","www.fallingrain.com","3045","2191","P000","tmcXMEm1400_025a"
"Civitavecchia","IT","sealoc17-tmc051112","IT","Piombino Straits; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","11.8","42.1","www.fallingrain.com","10.45","42.884","OWT","2191","3056","P000","tmcXMEm1400_026a"
"sealoc17-tmc051112","IT","Pisa","IT","Piombino Straits; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","10.45","42.884","OWT","10.3833","43.7167","www.fallingrain.com","3056","2726","P000","tmcXMEm1400_027a"
"Pisa","IT","sealoc09-tmc051112","FR","S. of Marseilles; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","10.3833","43.7167","www.fallingrain.com","6.09","42.67","OWT","2726","3048","P000","tmcXMEm1400_028a"
"sealoc09-tmc051112","FR","Marseilles","FR","S. of Marseilles; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","6.09","42.67","OWT","5.4","43.299999","ADL2016946","3048","97","P000","tmcXMEm1400_029a"
"Marseilles","FR","Aigues Mortes","FR","'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","5.4","43.299999","ADL2016946","4.1833","43.5667","www.fallingrain.com","97","3034","P000","tmcXMEm1400_030a"
"Aigues Mortes","FR","sealoc10-tmc051112","ES","S. of Perpignan; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","4.1833","43.5667","www.fallingrain.com","3.74","41.83","OWT","3034","3046","P000","tmcXMEm1400_031a"
"sealoc10-tmc051112","FR","Barcelona","ES","S. of Perpignan; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","3.74","41.83","OWT","2.183333","41.383331","ADL3829611","3046","389","P000","tmcXMEm1400_032a"
"Barcelona","ES","Valencia","ES","'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","2.183333","41.383331","ADL3829611","-.3667","39.4667","www.fallingrain.com","389","2707","P000","tmcXMEm1400_033a"
"Syracuse","IT","Tripolis","LY","'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","15.3","37.067","TGN7003794","13.18","32.892502","ADL2756547","928","774","P000","tmcXMEm1400_034a"
"Tripolis","LY","Jerba","TN","'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","13.18","32.892502","ADL2756547","10.8592","33.8747","www.fallingrain.com","774","3035","P000","tmcXMEm1400_035a"
"Jerba","TN","sealoc11-tmc051112","TN","N. of Tunis; 'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","10.8592","33.8747","www.fallingrain.com","11.22","37.14","OWT","3035","3050","P000","tmcXMEm1400_036a"
"sealoc11-tmc051112","TN","Tunis","TN","N. of Tunis; 'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","11.22","37.14","OWT","10.217","36.833","TGN7001016","3050","868","P000","tmcXMEm1400_037a"
"Tunis","TN","Bone","DZ","'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","10.217","36.833","TGN7001016","7.7667","36.9","www.fallingrain.com","868","3036","P000","tmcXMEm1400_038a"
"Bone","DZ","Bougie","DZ","'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","7.7667","36.9","www.fallingrain.com","5.0833","36.75","www.fallingrain.com","3036","3037","P000","tmcXMEm1400_039a"
"Bougie","DZ","Algiers","DZ","'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","5.0833","36.75","www.fallingrain.com","3.050556","36.763058","ADL1032486","3037","783","P000","tmcXMEm1400_040a"
"Algiers","DZ","Oran","DZ","'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","3.050556","36.763058","ADL1032486","-.6417","35.6911","www.fallingrain.com","783","3038","P000","tmcXMEm1400_041a"
"Oran","DZ","Melilla","ES","'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-.6417","35.6911","www.fallingrain.com","-2.95","35.316666","ADL3849076","3038","784","P000","tmcXMEm1400_042a"
"Melilla","ES","Malaga","ES","'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-2.95","35.316666","ADL3849076","-4.4167","36.7167","www.fallingrain.com","784","2710","P000","tmcXMEm1400_043a"
"Malaga","ES","Almeria","ES","'Barbary' route (Venice - Almeria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-4.4167","36.7167","www.fallingrain.com","-2.45","36.8333","www.fallingrain.com","2710","2756","P000","tmcXMEm1400_044a"
"Syracuse","IT","sealoc11-tmc051112","TN","N of Tunis; 'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Tunis","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","15.3","37.067","TGN7003794","11.22","37.14","OWT","928","3050","P000","tmcXMEm1400_045a"
"sealoc11-tmc051112","IT","Tunis","TN","N of Tunis; 'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Tunis","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","11.22","37.14","OWT","10.217","36.833","TGN7001016","3050","868","P000","tmcXMEm1400_046a"
"sealoc11-tmc051112","TN","Jerba","TN","'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Jerba","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","11.22","37.14","OWT","10.8592","33.8747","www.fallingrain.com","3050","3035","P000","tmcXMEm1400_047a"
"Jerba","TN","Tripoli","LY","'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Tripoli","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","10.8592","33.8747","www.fallingrain.com","13.18","32.892502","ADL2756547","3035","774","P000","tmcXMEm1400_048a"
"Tripoli","LY","sealoc16-tmc051112","LY","N. of Cyrene; 'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Alexandria","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","13.18","32.892502","ADL2756547","22.086","33.246","OWT","774","3055","P000","tmcXMEm1400_049a"
"sealoc16-tmc051112","LY","Alexandria","EG","N. of Cyrene; 'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Alexandria","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","22.086","33.246","OWT","29.9","31.2","TGN","3055","114","P000","tmcXMEm1400_050a"
"Alexandria","EG","sealoc12-tmc051112","GR","'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Candia","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","29.9","31.2","TGN","26.437","35.41","OWT","114","3053","P000","tmcXMEm1400_051a"
"sealoc12-tmc051112","GR","Candia","GR","'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Candia","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","26.437","35.41","OWT","25.1306","35.325","www.fallingrain.com","3053","2531","P000","tmcXMEm1400_052a"
"Candia","GR","sealoc10-tmc050503","GR","S. of C. Matapan; 'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Coron","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","25.1306","35.325","www.fallingrain.com","22.5189","36.3504","OWT","2531","2538","P000","tmcXMEm1400_053a"
"sealoc10-tmc050503","GR","Coron","GR","S. of C. Matapan; 'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Coron","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","22.5189","36.3504","OWT","21.95","36.8","www.fallingrain.com","2538","2530","P000","tmcXMEm1400_054a"
"Coron","GR","Modon","GR","'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Modon","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","21.95","36.8","www.fallingrain.com","21.7","36.8167","www.fallingrain.com","2530","2528","P000","tmcXMEm1400_055a"
"Modon","GR","sealoc09-tmc050503","GR","E. of Kefalonia; 'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Corfu","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","21.7","36.8167","www.fallingrain.com","20.2129","38.036","OWT","2528","2537","P000","tmcXMEm1400_056a"
"sealoc09-tmc050503","GR","Corfu","GR","E. of Kefalonia; 'al trafego' route (Venice - Tunis - Alexandria - Venice) ","trd","sl","maj","A000","B000","C000","Corfu & Venice","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","20.2129","38.036","OWT","19.919722","39.619999","ADL2249054","2537","951","P000","tmcXMEm1400_057a"
