NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Hamadan,IR,Baghdad,IQ,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,48.583,34.767,TGN,44.39389,33.338612,adlgaz-1-2538676-6c,59,1635,P000,tmcZCAm1000_023a
Baghdad,IQ,Aleppo,SY,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,44.39389,33.338612,adlgaz-1-2538676-6c,37.166668,36.200001,ADL3980652,1635,231,P000,tmcZCAm1000_024a
Samarqand,UZ,loc02-tmc010206,UZ,mod Dzhizak?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,66.95,39.667,TGN7012290,67.833336,40.099998,ADL4228739,141,674,P000,tmcZCAm1000_025a
loc02-tmc010206,UZ,Tashkent,UZ,mod Dzhizak?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,67.833336,40.099998,ADL4228739,69.3,41.333,Rigby 1984,674,162,P000,tmcZCAm1000_026a
loc02-tmc010206,UZ,loc05-tmc010205,UZ,mod Dzhizak?;mod Kokand?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,67.833336,40.099998,ADL4228739,70.949997,40.5,ADL4230703,674,219,P000,tmcZCAm1000_027a
loc05-tmc010205,UZ,loc04-tmc010205,KG,mod Osh?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,70.949997,40.5,ADL4230703,72.800003,40.533333,ADL2609455,219,117,P000,tmcZCAm1000_028a
loc04-tmc010205,KG,Kashgar,CN,mod Kokand?;mod Osh?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,72.800003,40.533333,ADL2609455,76.033,39.483,TGN,117,77,P000,tmcZCAm1000_029a
Tashkent,UZ,Talas,UZ,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,69.3,41.333,Rigby 1984,71.417,42.833,TGN7016637 ,162,515,P000,tmcZCAm1000_030a
Kucha,CN,Qara Shahr,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,82.900002,41.716667,ADL1615547,86.566666,42.066666,ADL1642325,89,217,P000,tmcZCAm1000_031a
Qara Shahr,CN,Qocho,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,86.566666,42.066666,ADL1642325,89.1,42.917,TGN7001479,217,170,P000,tmcZCAm1000_032a
Tun-huang,CN,Lou-lan,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,94.683334,40.166668,ADL1604560,89.75,40.533333,ADL1618975,50,92,P000,tmcZCAm1000_033a
Khotan,CN,Lou-lan,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,79.9166,37.1166,Rigby 1984,89.75,40.533333,ADL1618975,68,92,P000,tmcZCAm1000_034a
Khotan,CN,Peshawar,PK,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,79.9166,37.1166,Rigby 1984,71.550003,34.016666,ADL3258652,68,224,P000,tmcZCAm1000_035a
Peshawar,PK,Taxila,PK,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,71.550003,34.016666,ADL3258652,72.833336,33.75,ADL3264726,224,163,P000,tmcZCAm1000_036a
Peshawar,PK,Hadda,AF,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xii,71.550003,34.016666,ADL3258652,72.866669,32.016666,ADL3246532,224,228,P000,tmcZCAm1000_037a
Ch'eng-tu,CN,Ch'ang-an,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:xiii,104.066673,30.666668,ADL1599455,108.935547,34.260277,adlgaz-1-1636913-76,267,175,P000,tmcZCAm1000_038a
Bedel Pass,CN/KG,Aksu,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Seltzer 1962:183,78.433334,41.433334,ADL2608151 ,80.23333,41.25,ADL1635907,190,174,P000,tmcZCAm1000_039a
Bedel Pass,CN/KG,Przeval'sk,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Seltzer 1962:183,78.433334,41.433334,ADL2608151 ,78.4,42.483,TGN,190,129,P000,tmcZCAm1000_040a
Gurgan,IR,Dahistan,TM,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1350,QC4,Volk 2000,54.439167,36.828056,ADL2456811,54.666668,38.333332,ADL4127630,296,988,P000,tmcZCAm1000_041a
Gurganj,IR,Dahistan,TM,nkn,trd,cd,maj,A000,B000,C000,Gurganj,610km (110 fars),nkn,t000t,1300,1350,QC4,Volk 2000,59.166668,42.316666,ADL4127261,54.666668,38.333332,ADL4127630,643,988,P000,tmcZCAm1000_042a
loc01-tmc040121,KG,Aksu,CN,Bedel Pass?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,78.433334,41.433334,ADL2608151 ,80.23333,41.25,ADL1635907,190,174,P000,tmcZCAm1000_043a
loc01-tmc040121,KG,loc02-tmc040121,KG,Bedel Pass? Ysyk-Kol?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,78.433334,41.433334,ADL2608151 ,76.199997,42.466667,ADL2610043,190,531,P000,tmcZCAm1000_044a
loc02-tmc040121,KG,Balasaghun,KG,Ysyk-Kul?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,76.199997,42.466667,ADL2610043,75.3333,42.7333,www.calle.com,531,1005,P000,tmcZCAm1000_045a
loc01-tmc010206,KG,Alma-Ata,KZ,mod Bishkek,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,74.599998,42.900002,ADL2608195,76.949997,43.25,ADL2658539,530,976,P000,tmcZCAm1000a_001a
Alma-Ata,KZ,Yining,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,76.949997,43.25,ADL2658539,81.349998,43.900002,ADL1643229,976,646,P000,tmcZCAm1000a_002a
Yining,CN,Shihezi,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,81.349998,43.900002,ADL1643229,86.033333,44.299999,ADL1629672,646,981,P000,tmcZCAm1000a_003a
Shihezi,CN,Urumqi,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,86.033333,44.299999,ADL1629672,87.583336,43.799999,adlgaz-1-1634637-0d,981,173,P000,tmcZCAm1000a_004a
Urumqi,CN,loc07-tmc010205,CN,mod Qijiaojing,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,87.583336,43.799999,adlgaz-1-1634637-0d,91.599998,43.466667,adlgaz-1-1625438-02,173,613,P000,tmcZCAm1000a_005a
loc07-tmc010205,CN,Hami,CN,mod Qijiaojing,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,91.599998,43.466667,adlgaz-1-1625438-02,93.449997,42.799999,adlgaz-1-1608790-15,613,527,P000,tmcZCAm1000a_006a
Hami,CN,Dunhuang,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,93.449997,42.799999,adlgaz-1-1608790-15,94.683334,40.166668,ADL1604560,527,50,P000,tmcZCAm1000a_007a
Dunhuang,CN,Jiayuguan,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,94.683334,40.166668,ADL1604560,98.300003,39.816666,adlgaz-1-1613481-3a,50,979,P000,tmcZCAm1000a_008a
Jiayuguan,CN,Zhangye,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,98.300003,39.816666,adlgaz-1-1613481-3a,100.449997,38.933334,ADL1645287,979,182,P000,tmcZCAm1000a_009a
Zhangye,CN,Wuwei,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,100.449997,38.933334,ADL1645287,102.800003,37.966667,adlgaz-1-1616671-6e,182,91,P000,tmcZCAm1000a_010a
