NODE1,LONG1,LAT1,COUNTRY1,DETAIL,DATASTATUS,NODEID1,DATAID
loc06-tmc050503,26.17,40.8956,GR,?Ferai,exact,2477,tmcTRm1300_024a
loc07-tmc050503,26.8819,40.6031,TR,?Kavak,exact,2470,tmcTRm1300_022a
loc08-tmc050503,22.4333,38.9,GR,?Lamia,exact,2479,tmcTRm1300_033a
loc09-tmc050503,48.049168,46.349445,RU,?Astrakhan,exact,274,tmcTRm1300_064a
loc10-tmc050503,22.8833,47.8,RO,?Satu Mare,exact,2513,tmcTRm1300_074a
loc11-tmc050503,32,46.9667,UA,?Mykolayiv,exact,2519,tmcTRm1300_080a
loc12-tmc050503,26.6856,40.3442,TR,?Lapseki,exact,2522,tmcTRm1300_092a
loc13-tmc050503,36.2022,36.9539,TR,?Erzin,exact,2523,tmcTRm1300_104a
loc14-tmc050503,35.933,31.95,JO,?Amman,exact,13,tmcTRm1300_107a
loc15-tmc050503,38.5481,35.8367,SY,?Ath Thawrah,exact,2524,tmcTRm1300_116a
loc16-tmc050503,37.55,47.1,UA,?Mariupol,exact,2525,tmcTRm1300_130a
loc17-tmc050503,29.1567,40.4331,TR,?Gemlik,exact,2561,tmcTRm1300_096a
loc18-tmc050503,29.2847,40.6536,TR,?Yalova;?Gebze,exact,2562,tmcTRm1300_174a
loc19-tmc050503,29.4306,40.7978,TR,?Gebze,exact,2149,tmcTRm1300_081a
Lwow,24,49.833332,UA,?Kolomyja,exact,557,tmcTRm1300_051a
Manisa,27.4261,38.6131,TR,nkn,exact,2036,tmcTRm1300_094a
Mohacs,18.6831,45.9931,HU,nkn,exact,2458,tmcTRm1300_001a
Monastir,21.333332,41.033333,MK,nkn,exact,945,tmcTRm1300_029a
Mostar,17.8081,43.3433,BA,nkn,exact,2167,tmcTRm1300_075a
Nish,21.9,43.316666,CS,nkn,exact,941,tmcTRm1300_004a
Ohrida,20.799999,41.116669,MK,nkn,exact,944,tmcTRm1300_040a
Oltenita,26.6333,44.0833,RO,nkn,exact,2497,tmcTRm1300_047a
Or-kapi,33.700001,46.166668,UA,nkn,exact,1292,tmcTRm1300_061a
Osmancik,34.7981,40.9714,TR,nkn,exact,2508,tmcTRm1300_086a
Otranto,18.5,40.15,IT,nkn,exact,2526,tmcTRm1300_134a
Ozu,32.599998,46.633331,UA,nkn,exact,560,tmcTRm1300_060a
Pecs,18.2333,46.0833,HU,nkn,exact,2518,tmcTRm1300_069a
Phocaea,26.7567,38.6706,TR,nkn,exact,2509,tmcTRm1300_119a
Prevesa,20.75,38.95,GR,nkn,exact,2486,tmcTRm1300_035a
Prishtina,21.1667,42.6667,CS,nkn,exact,2463,tmcTRm1300_012a
Prizren,20.7397,42.2139,CS,nkn,exact,2487,tmcTRm1300_042a
Rhodes,28.217,36.433,GR,nkn,approx,138,tmcTRm1300_166a
Salonika,22.933,40.633,GR,nkn,exact,167,tmcTRm1300_026a
Sarajevo,18.383,43.85,BA,nkn,exact,971,tmcTRm1300_075a
Sayda,35.368889,33.563057,LB,nkn,exact,145,tmcTRm1300_115a
Scutari,19.5131,42.0675,AL ,nkn,exact,2485,tmcTRm1300_041a
sealoc01-tmc050503,14.9918,44.0957,HR,nkn,approx,2532,tmcTRm1300_136a
sealoc02-tmc050503,15.9879,43.3766,HR,nkn,approx,2533,tmcTRm1300_137a
sealoc03-tmc050503,16.94301711,42.89502219,HR,nkn,approx,2534,tmcTRm1300_139a
sealoc04-tmc050503,19.24073043,40.63075,AL,nkn,approx,2550,tmcTRm1300_143a
sealoc05-tmc050503,19.2158,40.4329,AL,nkn,approx,2535,tmcTRm1300_141a
sealoc06-tmc050503,19.961487,39.82168,GR,nkn,approx,2551,tmcTRm1300_141a
sealoc07-tmc050503,19.919722,39.619999,GR,?Korfu,exact,951,tmcTRm1300_142a
sealoc08-tmc050503,20.5408,38.7785,GR,nkn,approx,2536,tmcTRm1300_146a
sealoc09-tmc050503,20.2129,38.036,GR,nkn,approx,2537,tmcTRm1300_146a
sealoc10-tmc050503,22.5189,36.3504,GR,nkn,approx,2538,tmcTRm1300_148a
sealoc11-tmc050503,23.2238,36.4172,GR,nkn,approx,2539,tmcTRm1300_151a
sealoc12-tmc050503,24.3885,37.4871,GR,nkn,approx,2540,tmcTRm1300_152a
sealoc13-tmc050503,24.9812,37.6877,GR,nkn,approx,2541,tmcTRm1300_153a
sealoc14-tmc050503,26.2416,38.8914,GR,nkn,approx,2542,tmcTRm1300_154a
sealoc15-tmc050503,25.7275,39.1672,GR,nkn,approx,2543,tmcTRm1300_156a
sealoc16-tmc050503,26.333602,40.185728,TR,nkn,approx,2544,tmcTRm1300_157a
sealoc17-tmc050503,32.9133,42.1182,TR,nkn,approx,2545,tmcTRm1300_160a
sealoc18-tmc050503,26.3479,37.1751,GR,nkn,approx,2547,tmcTRm1300_165a
sealoc19-tmc050503,27.3636,36.2389,GR,nkn,approx,2548,tmcTRm1300_165a
sealoc21-tmc050503,31.9913,35.7708,TR,nkn,approx,2510,tmcTRm1300_167a
