"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Donauworth","DE","Augsburg","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","10.8","48.7","www.fallingrain.com","10.8833","48.3667","www.fallingrain.com","2929","2795","P000","tmcDEm1500a_022a"
"Augsburg","DE","Innsbruck","AT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","10.8833","48.3667","www.fallingrain.com","11.4","47.2667","www.fallingrain.com","2795","2822","P000","tmcDEm1500a_023a"
"Innsbruck","AT","Brenner Pass","AT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","11.4","47.2667","www.fallingrain.com","11.5","47","ADL1213837","2822","318","P000","tmcDEm1500a_024a"
"Brenner Pass","AT","Sterzing","IT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","11.5","47","ADL1213837","11.4333","46.9","www.fallingrain.com","318","3017","P000","tmcDEm1500a_025a"
"Sterzing","IT","Chiusa","IT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","11.4333","46.9","www.fallingrain.com","11.5667","46.6333","www.fallingrain.com","3017","3018","P000","tmcDEm1500a_026a"
"Chiusa","IT","Trent","IT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","11.5667","46.6333","www.fallingrain.com","11.133333","46.066666","ADL2519752","3018","321","P000","tmcDEm1500a_027a"
"Trent","IT","Verona","IT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","11.133333","46.066666","ADL2519752","11","45.45","www.fallingrain.com","321","2729","P000","tmcDEm1500a_028a"
"Verona","IT","Brescia","IT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","11","45.45","www.fallingrain.com","10.25","45.55","www.fallingrain.com","2729","3019","P000","tmcDEm1500a_029a"
"Brescia","IT","Milan","IT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","10.25","45.55","www.fallingrain.com","9.2","45.467","TGN7005903","3019","927","P000","tmcDEm1500a_030a"
"Verona","IT","Venice","IT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","11","45.45","www.fallingrain.com","12.326667","45.43861","ADL 2520567","2729","323","P000","tmcDEm1500a_031a"
"Nuremberg","DE","Regensburg","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","11.083333","49.450001","ADL2182159","12.1","49.016666","ADL2194357","1448","339","P000","tmcDEm1500a_032a"
"Regensburg","DE","Vienna","AT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","12.1","49.016666","ADL2194357","16.366667","48.200001","ADL1234868","339","1476","P000","tmcDEm1500a_033a"
