"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"loc44-tmc050518","26.4","40.150002","TR","?Canakkale","exact","506","tmcTRm1200b_088a"
"loc45-tmc050518","26.666668","40.400002","TR","?Gallipoli","exact","942","tmcTRm1200b_089a"
"loc46-tmc050518","26.6303","40.8558","TR","?Kesan","exact","2590","tmcTRm1200b_090a"
"loc47-tmc050518","35.5","38.716667","TR","?Kayseri","exact","772","tmcTRm1200b_091a"
"loc48-tmc050518","37.033333","39.75","TR","?Sivas","exact","717","tmcTRm1200b_092a"
"loc49-tmc050518","39.4928","39.7522","TR","?Erzincan","exact","2503","tmcTRm1200b_093a"
"loc50-tmc050518","40.7","39.9167","TR","?Askale","exact","2431","tmcTRm1200b_095a"
"loc51-tmc050518","39.716667","41","&R","?Trabzon","exact","168","tmcTRm1200b_005a"
"loc52-tmc050518","41.283333","39.916668","TR","?Erzurum","exact","238","tmcTRm1200b_097a"
"loc53-tmc050518","43.0975","40.6081","TR","?Kars","exact","658","tmcTRm1200b_098a"
"loc54-tmc050518","43.8475","40.7894","AM","?Gyumri","exact","2690","tmcTRm1200b_098a"
"loc55-tmc050518","42.1728","40.0458","TR","?Horasan","exact","2683","tmcTRm1200b_102a"
"loc56-tmc050518","44.0842","39.5469","TR","?Dogubayazit","exact","239","tmcTRm1200b_104a"
"loc57-tmc050518","44.5586","39.2867","IR","?Maku","exact","2691","tmcTRm1200b_105a"
"loc58-tmc050518","40.2106","37.9189","TR","?Diyarbakir","exact","2031","tmcTRm1200b_109a"
"loc59-tmc050518","36.9317","37.5875","TR","?Kahramanmaras","exact","2556","tmcTRm1200b_108a"
"loc60-tmc050518","36.3911","38.7217","TR","?Pinarbasi","exact","2694","tmcTRm1200b_107a"
"loc61-tmc050518","36.116669","36.233334","TR","?Antakya","exact","1","tmcTRm1200b_113a"
"loc62-tmc050518 ","44.2558","46.3078","RU","?Elista","exact","2696","tmcTRm1200b_119a"
"loc63-tmc050518 ","41.5428","46.4725","RU","?Salsk","exact","2697","tmcTRm1200b_121a"
"loc64-tmc050518","41.033333","43","RU","?Sokhumi","exact","553","tmcTRm1200b_004a"
"loc65-tmc050518","35.933334","36.116669","TR","?Samandagi","exact","140","tmcTRm1200b_113a"
"loc66-tmc050518","26.3831","40.9181","TR","?Ipsala","exact","2573","tmcTRm1200b_122a"
"Merv","62.166668","37.616669","TM","nkn","exact","620","tmcTRm1200b_069a"
"Pexin","116.389168","39.912777","CN","nkn","exact","391","tmcTRm1200b_034a"
"Rostov -na-Donu","39.7139","47.2364","RU","nkn","","2563","tmcTRm1200b_001a"
"sealoc11-tmc050503","23.2238","36.4172","GR","Waypoint-2539","approx","2539","tmcTRm1200b_079a"
"sealoc12-tmc050503","24.3885","37.4871","GR","Waypoint-2540","approx","2540","tmcTRm1200b_079a"
"sealoc13-tmc050503","24.9812","37.6877","GR","Waypoint-2541","approx","2541","tmcTRm1200b_078a"
"Sian","108.935547","34.260277","CN","nkn","exact","175","tmcTRm1200b_045a"
"Tabriz","46.291943","38.080002","IR","nkn","exact","240","tmcTRm1200b_055a"
"Talas","71.417","42.833","KZ","nkn","exact","515","tmcTRm1200b_031a"
"Tashkent","69.3","41.333","UZ","nkn","exact","162","tmcTRm1200b_011a"
"Tehran","51.4244","35.6719","IR","nkn","exact","2164","tmcTRm1200b_063a"
"Tungwung","94.683334","40.166668","CN","nkn","exact","50","tmcTRm1200b_024a"
"Ulan Bator","106.916656","47.916668","MN","nkn","exact","690","tmcTRm1200b_034a"
"Urumchi","87.583336","43.799999","CN","nkn","exact","173","tmcTRm1200b_027a"
"Volgograd","44.5858","48.8047","RU","nkn","exact","895","tmcTRm1200b_001a"
"xrd01-tmc050518","42.4633","47.1483","RU","?Zimovniki","exact","2649","tmcTRm1200b_116a"
