NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Yarkand,CN,Khotan,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),77.267,38.45,TGN7002000,79.9166,37.1166,Rigby 1984,149,68,P000,tmcZCAm0600_021a
Yarkand,CN,Kashgar,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),77.267,38.45,TGN7002000,76.033,39.483,TGN,149,77,P000,tmcZCAm0600_022a
loc08-tmc040123,CN,Kashgar,CN,Ulugqat,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),74.25,39.799999,ADL1634611,76.033,39.483,TGN,1061,77,P000,tmcZCAm0600_023a
loc08-tmc040123,CN,loc09-tmc040123,KG,Ulugqat;Sary-Tash,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),74.25,39.799999,ADL1634611,73.25,39.733334,ADL2609546,1061,615,P000,tmcZCAm0600_024a
loc09-tmc040123,KG,loc10-tmc040123,KG,Sary-Tash;Osh,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),73.25,39.733334,ADL2609546,72.800003,40.533333,ADL2609455,615,117,P000,tmcZCAm0600_025a
loc10-tmc040123,KG,loc11-tmc040123,UZ,Osh; Andijon,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),72.800003,40.533333,ADL2609455,72.366669,40.75,ADL4227241,117,647,P000,tmcZCAm0600_026a
loc11-tmc040123,UZ,loc12-tmc040123,UZ,Andijon; Quqon,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),72.366669,40.75,ADL4227241,70.949997,40.5,ADL4230703,647,219,P000,tmcZCAm0600_027a
loc12-tmc040123,UZ,loc13-tmc040123,TJ,Quqon;Khujand,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),70.949997,40.5,ADL4230703,69.616669,40.283333,ADL4039970,219,279,P000,tmcZCAm0600_028a
loc13-tmc040123,TJ,loc14-tmc040123,UZ,Khujand; Jizzakh,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),69.616669,40.283333,ADL4039970,67.833336,40.099998,ADL4228739,279,674,P000,tmcZCAm0600_029a
loc14-tmc040123,UZ,Samarkand,UZ,Jizzakh,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),67.833336,40.099998,ADL4228739,66.95,39.667,TGN7012290,674,141,P000,tmcZCAm0600_030a
