NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Edirne,TR,loc05-tmc050503,GR,?Suflion,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,26.566668,41.666668,ADL4079837,26.2994,41.1919,www.fallingrain.com,900,2471,P000,tmcTRm1300_023a
loc06-tmc050503,GR,Serres,GR,?Ferai,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,26.17,40.8956,www.fallingrain.com,23.5497,41.0856,www.fallingrain.com,2477,2472,P000,tmcTRm1300_024a
Serres,GR,Salonika,GR,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,23.5497,41.0856,www.fallingrain.com,22.933,40.633,TGN7011182,2472,167,P000,tmcTRm1300_025a
Salonika,GR,frk01-tmc050503,GR,?Aiginion,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,22.933,40.633,TGN7011182,22.54,40.5014,www.fallingrain.com,167,2473,P000,tmcTRm1300_026a
frk01-tmc050503,GR,frk02-tmc050503,GR,?Aiginion; ?Kozani,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,22.54,40.5014,www.fallingrain.com,21.7864,40.3011,www.fallingrain.com,2473,2478,P000,tmcTRm1300_027a
frk02-tmc050503,GR,Monastir,MK,?Kozani,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,21.7864,40.3011,www.fallingrain.com,21.333332,41.033333,ADL2809578,2478,945,P000,tmcTRm1300_028a
Monastir,MK,Ohrida,MK,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,21.333332,41.033333,ADL2809578,20.799999,41.116669,ADL2811076,945,944,P000,tmcTRm1300_029a
Argos,GR,Corinth,GR,nkn,trd,cd,min,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,22.7333,37.6333,www.fallingrain.com,22.917,37.933,TGN,2474,84,P000,tmcTRm1300_030a
Corinth,GR,Athens,GR,nkn,trd,cd,min,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,22.917,37.933,TGN,23.733334,37.983334,ADL2243838,84,866,P000,tmcTRm1300_031a
Athens,GR,loc08-tmc050503,GR,?Lamia,trd,cd,min,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,23.733334,37.983334,ADL2243838,22.4333,38.9,www.fallingrain.com,866,2479,P000,tmcTRm1300_032a
loc08-tmc050503,GR,Yenisehir,GR,?Lamia,trd,cd,min,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,22.4333,38.9,www.fallingrain.com,22.4203,39.6372,www.fallingrain.com,2479,2480,P000,tmcTRm1300_033a
Yenisehir,GR,frk01-tmc050503,GR,?Aiginion,trd,cd,min,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,22.4203,39.6372,www.fallingrain.com,22.54,40.5014,www.fallingrain.com,2480,2473,P000,tmcTRm1300_034a
Prevesa,GR,Joannina,GR,nkn,trd,cd,min,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,20.75,38.95,www.fallingrain.com,20.8508,39.6675,www.fallingrain.com,2486,2476,P000,tmcTRm1300_035a
