NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Cacabelos,ES,Vega de Valcarce,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d024km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-6.716667,42.599998,adlgaz-1-3831987-02,-6.933333,42.666668,ADL3864040,1486,1493,P000,tmcESm1999_023a
Vega de Valcarce,ES,Triacastela,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d031km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-6.933333,42.666668,ADL3864040,-7.233333,42.75,ADL3862505,1493,1494,P000,tmcESm1999_024a
Triacastela,ES,Sarria,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d023km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-7.233333,42.75,ADL3862505,-7.4,42.783333,ADL3859751,1494,1498,P000,tmcESm1999_025a
Sarria,ES,Portomarin,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d022km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-7.4,42.783333,ADL3859751,-7.6,42.799999,ADL3855205,1498,1489,P000,tmcESm1999_026a
Portomarin,ES,Palas de Rey,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d024km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-7.6,42.799999,ADL3855205,-7.866667,42.866669,ADL3852460,1489,1495,P000,tmcESm1999_027a
Palas de Rey,ES,Arzua,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d029km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-7.866667,42.866669,ADL3852460,-8.15,42.933334,ADL3828878,1495,1496,P000,tmcESm1999_028a
Arzua,ES,Monte do Gozo,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d035km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-8.15,42.933334,ADL3828878,-8.5,42.88,OWT est.,1496,1499,P000,tmcESm1999_029a
Monte do Gozo,ES,Santiago,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d006km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-8.5,42.88,OWT est.,-8.55,42.883331,ADL3859484,1499,295,P000,tmcESm1999_030a
St-Jean-Pied-de-Port,FR,Leon,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d445km,wlk,r018d,1999,1999,QA2,Loiselle  n.d.,-1.233333,43.166668, adlgaz-1-2033023-2b ,-5.566667,42.599998,ADL3846329,465,377,P000,tmcESm1999_031a
Leon,ES,Santiago,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d306km,wlk,r012d,1999,1999,QA2,Loiselle  n.d.,-5.566667,42.599998,ADL3846329,-8.55,42.883331,ADL3859484,377,295,P000,tmcESm1999_032a
St-Jean-Pied-de-Port,FR,Santiago,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d751km,wlk,r031d,1999,1999,QA2,Loiselle  n.d.,96.01667,36.400002,adlgaz-1-1623427-4c ,-8.55,42.883331,ADL3859484,1469,295,P000,tmcESm1999_033a
Candanchu,ES,Puente la Reina,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1999,1999,QC3,Loiselle  n.d.,-0.533333,42.783333,ADL3832820,-1.816667,42.666668,ADL3855085,1487,363,P000,tmcESm1999_034a
Lugo,ES,Portomarin,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1999,1999,QC3,Loiselle  n.d.,-7.566667,43,ADL3847761,-7.6,42.799999,ADL3855205,1497,1489,P000,tmcESm1999_035a
